2016-03-29 12:02:22.706000 Write 5-min OHLC
2016-03-29 12:02:22.708000 Write 5-min OHLC
2016-03-29 12:02:22.710000 Write 5-min OHLC
2016-03-29 12:02:22.712000 Write 5-min OHLC
2016-03-29 12:02:22.714000 Write 5-min OHLC
2016-03-29 12:02:22.716000 Write 5-min OHLC
2016-03-29 12:02:22.719000 Write 5-min OHLC
2016-03-29 12:02:22.721000 Write 5-min OHLC
2016-03-29 12:02:22.722000 Write 5-min OHLC
2016-03-29 12:02:22.725000 Write 5-min OHLC
2016-03-29 12:02:22.727000 Write 5-min OHLC
2016-03-29 12:02:22.729000 Write 5-min OHLC
2016-03-29 12:02:22.731000 Write 5-min OHLC
2016-03-29 12:02:22.733000 Write 5-min OHLC
2016-03-29 12:02:22.735000 Write 5-min OHLC
2016-03-29 12:02:22.737000 Write 5-min OHLC
2016-03-29 12:02:22.739000 Write 5-min OHLC
2016-03-29 12:02:22.741000 Write 5-min OHLC
2016-03-29 12:02:22.744000 Write 5-min OHLC
2016-03-29 12:02:22.746000 Write 5-min OHLC
2016-03-29 12:02:22.748000 Write 5-min OHLC
2016-03-29 12:02:22.750000 Write 5-min OHLC
2016-03-29 12:02:22.752000 Write 5-min OHLC
2016-03-29 12:02:22.754000 Write 5-min OHLC
2016-03-29 12:02:22.756000 Write 5-min OHLC
2016-03-29 12:02:22.759000 Write 5-min OHLC
2016-03-29 12:02:22.761000 Write 5-min OHLC
2016-03-29 12:02:22.763000 Write 5-min OHLC
2016-03-29 12:02:22.765000 Write 5-min OHLC
2016-03-29 12:02:22.767000 Write 5-min OHLC
2016-03-29 12:02:22.769000 Write 5-min OHLC
2016-03-29 12:02:22.771000 Write 5-min OHLC
2016-03-29 12:02:22.773000 Write 5-min OHLC
2016-03-29 12:02:22.775000 Write 5-min OHLC
2016-03-29 12:02:22.777000 Write 5-min OHLC
2016-03-29 12:02:22.779000 Write 5-min OHLC
2016-03-29 12:02:22.781000 Write 5-min OHLC
2016-03-29 12:02:22.783000 Write 5-min OHLC
2016-03-29 12:02:22.785000 Write 5-min OHLC
2016-03-29 12:02:22.786000 Write 5-min OHLC
2016-03-29 12:02:22.788000 Write 5-min OHLC
2016-03-29 12:02:22.790000 Write 5-min OHLC
2016-03-29 12:02:22.792000 Write 5-min OHLC
2016-03-29 12:02:22.794000 Write 5-min OHLC
2016-03-29 12:02:22.795000 Write 5-min OHLC
2016-03-29 12:02:22.798000 Write 5-min OHLC
2016-03-29 12:02:22.800000 Write 5-min OHLC
2016-03-29 12:02:22.801000 Write 5-min OHLC
2016-03-29 12:02:22.803000 Write 5-min OHLC
2016-03-29 12:02:22.805000 Write 5-min OHLC
2016-03-29 12:02:22.806000 Write 5-min OHLC
2016-03-29 12:02:22.809000 Write 5-min OHLC
2016-03-29 12:02:22.811000 Write 5-min OHLC
2016-03-29 12:02:22.813000 Write 5-min OHLC
2016-03-29 12:02:22.814000 Write 5-min OHLC
2016-03-29 12:02:22.816000 Write 5-min OHLC
2016-03-29 12:02:22.818000 Write 5-min OHLC
2016-03-29 12:02:22.820000 Write 5-min OHLC
2016-03-29 12:02:22.822000 Write 5-min OHLC
2016-03-29 12:02:22.824000 Write 5-min OHLC
2016-03-29 12:02:22.826000 Write 5-min OHLC
2016-03-29 12:02:22.828000 Write 5-min OHLC
2016-03-29 12:02:22.830000 Write 5-min OHLC
2016-03-29 12:02:22.832000 Write 5-min OHLC
2016-03-29 12:02:22.833000 Write 5-min OHLC
2016-03-29 12:02:22.835000 Write 5-min OHLC
2016-03-29 12:02:22.837000 Write 5-min OHLC
2016-03-29 12:02:22.839000 Write 5-min OHLC
2016-03-29 12:02:22.841000 Write 5-min OHLC
2016-03-29 12:02:22.843000 Write 5-min OHLC
2016-03-29 12:02:22.845000 Write 5-min OHLC
2016-03-29 12:02:22.847000 Write 5-min OHLC
2016-03-29 12:02:22.849000 Write 5-min OHLC
2016-03-29 12:02:22.851000 Write 5-min OHLC
2016-03-29 12:02:22.853000 Write 5-min OHLC
2016-03-29 12:02:22.855000 Write 5-min OHLC
2016-03-29 12:02:22.858000 Write 5-min OHLC
2016-03-29 12:02:22.860000 Write 5-min OHLC
2016-03-29 12:02:22.862000 Write 5-min OHLC
2016-03-29 12:02:22.864000 Write 5-min OHLC
2016-03-29 12:02:22.865000 Write 5-min OHLC
2016-03-29 12:02:22.867000 Write 5-min OHLC
2016-03-29 12:02:22.869000 Write 5-min OHLC
2016-03-29 12:02:22.871000 Write 5-min OHLC
2016-03-29 12:02:22.873000 Write 5-min OHLC
2016-03-29 12:02:22.874000 Write 5-min OHLC
2016-03-29 12:02:22.876000 Write 5-min OHLC
2016-03-29 12:02:22.879000 Write 5-min OHLC
2016-03-29 12:02:22.880000 Write 5-min OHLC
2016-03-29 12:02:22.882000 Write 5-min OHLC
2016-03-29 12:02:22.885000 Write 5-min OHLC
2016-03-29 12:02:22.886000 Write 5-min OHLC
2016-03-29 12:02:22.888000 Write 5-min OHLC
2016-03-29 12:02:22.890000 Write 5-min OHLC
2016-03-29 12:02:22.892000 Write 5-min OHLC
2016-03-29 12:02:22.894000 Write 5-min OHLC
2016-03-29 12:02:22.896000 Write 5-min OHLC
2016-03-29 12:02:22.899000 Write 5-min OHLC
2016-03-29 12:02:22.901000 Write 5-min OHLC
2016-03-29 12:02:22.903000 Write 5-min OHLC
2016-03-29 12:02:22.905000 Write 5-min OHLC
2016-03-29 12:02:22.907000 Write 5-min OHLC
2016-03-29 12:02:22.909000 Write 5-min OHLC
2016-03-29 12:02:22.911000 Write 5-min OHLC
2016-03-29 12:02:22.913000 Write 5-min OHLC
2016-03-29 12:02:23.275000 Check whether 1-hour matsuba of the hour is recorded in the data file...
2016-03-29 12:02:23.315000 1-hour matsuba of the hour not recorded
2016-03-29 12:02:23.317000 Read 1-hour extension...
